reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app_name,cleaned_content,review_length,issue_type,is_fake
a5a7c4ed-45b5-4e68-a5ff-f4d2c4595556,mr superman,https://play-lh.googleusercontent.com/a-/ALV-UjUg7e4vYXjSn2_5mBS5xdSmasGDUJm512a4-GSF46Y4XRaH2l7g,unfortunately it won't let me screenshot for proof to send,1,0,8.93.1,2025-10-06 16:19:17,,,8.93.1,PayPal,unfortunately it wont let me screenshot for proof to send,57,Positive,False
3f39498f-d67e-44a5-a307-549578a110b5,Tshegofatso Thetele,https://play-lh.googleusercontent.com/a-/ALV-UjX7idXkr1_lametgnr2b3gtrSQ3fhObNxjG2D-1OSEyAtWiJ6KE,best app and safe to use,5,0,8.93.1,2025-10-06 16:14:19,,,8.93.1,PayPal,best app and safe to use,24,Positive,False
7e5fdf0b-59ca-490b-a4e0-6a7594c63d8a,saraf khan,https://play-lh.googleusercontent.com/a-/ALV-UjWh5ZaogmcV0VfszXPGaHRPmW2Y-YUzkzMPF91VJie_3B74DWc,PayPal hold my money. I can't recommend,1,0,8.93.1,2025-10-06 15:05:24,,,8.93.1,PayPal,PayPal hold my money. I cant recommend,38,Positive,False
07b8c844-27e7-4fc4-9f93-0b137c63a6a6,Mark White,https://play-lh.googleusercontent.com/a-/ALV-UjVJ2KppcUIBGZxQKhHLnHLUhdpTWmVl6fRayxplMjkgnLg79JRu,lost all money I earned by being permanently deactivated because I just wanted to link my bank and prove I'm real. I got $20 dollars for selling online and I guess that triggered the AI to block me idk. it's extremely difficult to use and navigate so of course I got deemed as a bot for attempting to add my bank because it won't show up?? now I lost all the money I earned because you guys can't get it together.,1,0,8.93.1,2025-10-06 14:47:00,,,8.93.1,PayPal,lost all money I earned by being permanently deactivated because I just wanted to link my bank and prove Im real. I got 20 dollars for selling online and I guess that triggered the AI to block me idk. its extremely difficult to use and navigate so of course I got deemed as a bot for attempting to add my bank because it wont show up?? now I lost all the money I earned because you guys cant get it together.,408,Positive,False
96d4c712-7be9-4eb8-a8f2-820341489649,Oshay Blake,https://play-lh.googleusercontent.com/a-/ALV-UjW32pcPtJf8_mLBy2zP96-fSmUDPgLm6TvXfBUQZ4TjWA4LswdK,paypal is an wonderful app makes work much easier for friends and family,5,0,8.93.1,2025-10-06 14:39:28,,,8.93.1,PayPal,paypal is an wonderful app makes work much easier for friends and family,72,Positive,False
9df488d5-05c3-46c3-8ddc-74db09208ef9,Beverly Naves,https://play-lh.googleusercontent.com/a/ACg8ocKQmmn54IYRkh7UMPdTEZFuBx5aeXjdqlwgyJJaYf07tME5iw=mo,Love PayPal..♥️🥰♥️ Very professional..easy & reliable!,5,0,8.92.1,2025-10-06 14:28:33,,,8.92.1,PayPal,Love PayPal.. Very professional..easy reliable!,47,Positive,False
9f74d34a-64e9-472d-b27c-cd1b334ed14d,Casey Dawn,https://play-lh.googleusercontent.com/a/ACg8ocKvxaLZcbNO_1Faxzl88FIVGbBulGOGxlsoGKGyGWtSXNLzuQ=mo,complete trash all the way from thr app to the customer service team. Can't even speak English properly and can't even tell you why there own app doesn't do stuff or blocks stuff. needs to be scraped and the whole customer service department fired.,1,0,8.93.1,2025-10-06 14:19:43,,,8.93.1,PayPal,complete trash all the way from thr app to the customer service team. Cant even speak English properly and cant even tell you why there own app doesnt do stuff or blocks stuff. needs to be scraped and the whole customer service department fired.,245,Positive,False
f6b7af73-6347-492f-afa9-96a805f98e36,Nicki Gilchrist,https://play-lh.googleusercontent.com/a/ACg8ocITVzKknDv3DQ_VV2DjAH_zpFRqfCOpGZxPmU_oS8pn-C407hI=mo,Can't open the app! Not helpful.,1,0,8.93.1,2025-10-06 13:59:07,,,8.93.1,PayPal,Cant open the app! Not helpful.,31,Positive,False
8b5aa35b-1123-407d-8a90-f4b91bbe8294,Cindy Demchak,https://play-lh.googleusercontent.com/a/ACg8ocLvr9ngyBnPJEsh8OiwEqNH74LJdj_BrpCBD9UNm1dhqT4Jng=mo,"you need to catch these people who keep trying to say that their PayPal and they're putting $1,000 into my account when I know it's a lie",5,0,8.93.1,2025-10-06 13:54:07,,,8.93.1,PayPal,"you need to catch these people who keep trying to say that their PayPal and theyre putting 1,000 into my account when I know its a lie",134,Positive,False
918470db-c69f-4c8c-b842-e0967156276e,Skittless 99,https://play-lh.googleusercontent.com/a/ACg8ocIm6Riy2iUskrjlyC4FdfNS7-pGS0bq3vVb54zs4G_E8H9yAg=mo,Really good apps and love to use it.,5,0,,2025-10-06 13:43:41,,,,PayPal,Really good apps and love to use it.,36,Positive,False
